127.0.0.1 - - [25/Jul/2023:22:15:50 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [25/Jul/2023:22:15:51 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 5012
0:0:0:0:0:0:0:1 - - [25/Jul/2023:22:15:51 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 200 69707
0:0:0:0:0:0:0:1 - - [25/Jul/2023:22:15:51 +0900] "GET /BBS/css/style.css HTTP/1.1" 200 2252
0:0:0:0:0:0:0:1 - - [25/Jul/2023:22:17:03 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4970
0:0:0:0:0:0:0:1 - - [25/Jul/2023:22:17:03 +0900] "GET /BBS/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2023:22:17:04 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4970
0:0:0:0:0:0:0:1 - - [25/Jul/2023:22:17:04 +0900] "GET /BBS/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2023:22:17:04 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4970
0:0:0:0:0:0:0:1 - - [25/Jul/2023:22:17:04 +0900] "GET /BBS/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2023:22:17:09 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 1776
0:0:0:0:0:0:0:1 - - [25/Jul/2023:22:17:09 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 200 146010
0:0:0:0:0:0:0:1 - - [25/Jul/2023:22:17:13 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 245
0:0:0:0:0:0:0:1 - - [25/Jul/2023:22:17:13 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 2192
0:0:0:0:0:0:0:1 - - [25/Jul/2023:22:17:13 +0900] "GET /BBS/images/2.jpg HTTP/1.1" 200 113465
0:0:0:0:0:0:0:1 - - [25/Jul/2023:22:17:13 +0900] "GET /BBS/images/1.jpg HTTP/1.1" 200 98675
0:0:0:0:0:0:0:1 - - [25/Jul/2023:22:17:13 +0900] "GET /BBS/images/4.jpg HTTP/1.1" 200 894542
0:0:0:0:0:0:0:1 - - [25/Jul/2023:22:17:13 +0900] "GET /BBS/images/3.jpg HTTP/1.1" 200 426205
0:0:0:0:0:0:0:1 - - [25/Jul/2023:22:17:13 +0900] "GET /BBS/images/5.jpg HTTP/1.1" 200 1423128
0:0:0:0:0:0:0:1 - - [25/Jul/2023:22:17:13 +0900] "GET /BBS/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 200 20127
0:0:0:0:0:0:0:1 - - [25/Jul/2023:22:17:15 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4942
0:0:0:0:0:0:0:1 - - [25/Jul/2023:22:17:17 +0900] "GET /BBS/view.jsp?bbsID=133 HTTP/1.1" 200 1928
0:0:0:0:0:0:0:1 - - [25/Jul/2023:22:17:18 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4942
