127.0.0.1 - - [12/Aug/2023:13:04:11 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [12/Aug/2023:13:04:14 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 8018
0:0:0:0:0:0:0:1 - - [12/Aug/2023:13:04:15 +0900] "GET /BBS/css/style.css HTTP/1.1" 200 1923
0:0:0:0:0:0:0:1 - - [12/Aug/2023:13:04:15 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [12/Aug/2023:13:04:18 +0900] "GET /BBS/join.jsp HTTP/1.1" 200 2427
0:0:0:0:0:0:0:1 - - [12/Aug/2023:13:04:18 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Aug/2023:13:04:18 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 200 69707
0:0:0:0:0:0:0:1 - - [12/Aug/2023:13:04:20 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 1456
0:0:0:0:0:0:0:1 - - [12/Aug/2023:13:04:20 +0900] "GET /BBS/css/login.css HTTP/1.1" 200 1243
0:0:0:0:0:0:0:1 - - [12/Aug/2023:13:04:22 +0900] "GET /BBS/join.jsp HTTP/1.1" 200 2427
0:0:0:0:0:0:0:1 - - [12/Aug/2023:13:04:23 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 1456
0:0:0:0:0:0:0:1 - - [12/Aug/2023:13:04:24 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 1456
0:0:0:0:0:0:0:1 - - [12/Aug/2023:13:04:25 +0900] "GET /BBS/join.jsp HTTP/1.1" 200 2427
0:0:0:0:0:0:0:1 - - [12/Aug/2023:13:04:25 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 1456
0:0:0:0:0:0:0:1 - - [12/Aug/2023:13:04:26 +0900] "GET /BBS/join.jsp HTTP/1.1" 200 2427
0:0:0:0:0:0:0:1 - - [12/Aug/2023:13:04:26 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 1456
0:0:0:0:0:0:0:1 - - [12/Aug/2023:13:04:26 +0900] "GET /BBS/join.jsp HTTP/1.1" 200 2427
0:0:0:0:0:0:0:1 - - [12/Aug/2023:13:04:27 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 1456
0:0:0:0:0:0:0:1 - - [12/Aug/2023:13:12:38 +0900] "GET /BBS/join.jsp HTTP/1.1" 200 2427
0:0:0:0:0:0:0:1 - - [12/Aug/2023:13:12:39 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 1456
0:0:0:0:0:0:0:1 - - [12/Aug/2023:13:12:40 +0900] "GET /BBS/join.jsp HTTP/1.1" 200 2427
0:0:0:0:0:0:0:1 - - [12/Aug/2023:13:12:40 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 1456
0:0:0:0:0:0:0:1 - - [12/Aug/2023:13:12:41 +0900] "GET /BBS/join.jsp HTTP/1.1" 200 2427
0:0:0:0:0:0:0:1 - - [12/Aug/2023:13:12:42 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 1456
0:0:0:0:0:0:0:1 - - [12/Aug/2023:13:12:42 +0900] "GET /BBS/join.jsp HTTP/1.1" 200 2427
0:0:0:0:0:0:0:1 - - [12/Aug/2023:13:12:42 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 1456
0:0:0:0:0:0:0:1 - - [12/Aug/2023:13:12:43 +0900] "GET /BBS/join.jsp HTTP/1.1" 200 2427
0:0:0:0:0:0:0:1 - - [12/Aug/2023:13:12:44 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 1456
0:0:0:0:0:0:0:1 - - [12/Aug/2023:13:13:24 +0900] "GET /BBS/join.jsp HTTP/1.1" 200 2427
0:0:0:0:0:0:0:1 - - [12/Aug/2023:13:15:00 +0900] "GET /BBS/join.jsp HTTP/1.1" 200 2427
0:0:0:0:0:0:0:1 - - [12/Aug/2023:13:15:01 +0900] "GET /BBS/join.jsp HTTP/1.1" 200 2427
0:0:0:0:0:0:0:1 - - [12/Aug/2023:13:15:02 +0900] "GET /BBS/join.jsp HTTP/1.1" 200 2427
0:0:0:0:0:0:0:1 - - [12/Aug/2023:13:15:03 +0900] "GET /BBS/join.jsp HTTP/1.1" 200 2427
0:0:0:0:0:0:0:1 - - [12/Aug/2023:13:15:03 +0900] "GET /BBS/join.jsp HTTP/1.1" 200 2427
0:0:0:0:0:0:0:1 - - [12/Aug/2023:13:15:08 +0900] "GET /BBS/join.jsp HTTP/1.1" 200 2421
0:0:0:0:0:0:0:1 - - [12/Aug/2023:13:15:08 +0900] "GET /BBS/css/join.css HTTP/1.1" 200 1232
0:0:0:0:0:0:0:1 - - [12/Aug/2023:13:15:14 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 1456
0:0:0:0:0:0:0:1 - - [12/Aug/2023:13:15:16 +0900] "GET /BBS/join.jsp HTTP/1.1" 200 2421
0:0:0:0:0:0:0:1 - - [12/Aug/2023:13:15:16 +0900] "GET /BBS/css/join.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Aug/2023:13:15:17 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 1456
0:0:0:0:0:0:0:1 - - [12/Aug/2023:13:15:29 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 1456
0:0:0:0:0:0:0:1 - - [12/Aug/2023:13:15:31 +0900] "GET /BBS/join.jsp HTTP/1.1" 200 2421
0:0:0:0:0:0:0:1 - - [12/Aug/2023:13:15:31 +0900] "GET /BBS/css/join.css HTTP/1.1" 200 1232
0:0:0:0:0:0:0:1 - - [12/Aug/2023:13:15:36 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 1456
0:0:0:0:0:0:0:1 - - [12/Aug/2023:13:15:37 +0900] "GET /BBS/join.jsp HTTP/1.1" 200 2421
0:0:0:0:0:0:0:1 - - [12/Aug/2023:13:15:37 +0900] "GET /BBS/css/join.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Aug/2023:13:15:37 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 1456
0:0:0:0:0:0:0:1 - - [12/Aug/2023:13:15:38 +0900] "GET /BBS/join.jsp HTTP/1.1" 200 2421
0:0:0:0:0:0:0:1 - - [12/Aug/2023:13:15:38 +0900] "GET /BBS/css/join.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Aug/2023:13:15:38 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 1456
0:0:0:0:0:0:0:1 - - [12/Aug/2023:13:15:39 +0900] "GET /BBS/join.jsp HTTP/1.1" 200 2421
0:0:0:0:0:0:0:1 - - [12/Aug/2023:13:15:39 +0900] "GET /BBS/css/join.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Aug/2023:13:15:39 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 1456
0:0:0:0:0:0:0:1 - - [12/Aug/2023:13:15:39 +0900] "GET /BBS/join.jsp HTTP/1.1" 200 2421
0:0:0:0:0:0:0:1 - - [12/Aug/2023:13:15:39 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 1456
0:0:0:0:0:0:0:1 - - [12/Aug/2023:13:15:40 +0900] "GET /BBS/join.jsp HTTP/1.1" 200 2421
0:0:0:0:0:0:0:1 - - [12/Aug/2023:13:15:40 +0900] "GET /BBS/css/join.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Aug/2023:13:15:40 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 1456
0:0:0:0:0:0:0:1 - - [12/Aug/2023:13:15:41 +0900] "GET /BBS/join.jsp HTTP/1.1" 200 2421
0:0:0:0:0:0:0:1 - - [12/Aug/2023:13:15:41 +0900] "GET /BBS/css/join.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Aug/2023:13:15:42 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 1456
0:0:0:0:0:0:0:1 - - [12/Aug/2023:13:15:42 +0900] "GET /BBS/join.jsp HTTP/1.1" 200 2421
0:0:0:0:0:0:0:1 - - [12/Aug/2023:13:15:42 +0900] "GET /BBS/css/join.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Aug/2023:13:15:43 +0900] "GET /BBS/join.jsp HTTP/1.1" 200 2421
0:0:0:0:0:0:0:1 - - [12/Aug/2023:13:15:43 +0900] "GET /BBS/css/join.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Aug/2023:13:15:44 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 1456
0:0:0:0:0:0:0:1 - - [12/Aug/2023:13:15:44 +0900] "GET /BBS/join.jsp HTTP/1.1" 200 2421
0:0:0:0:0:0:0:1 - - [12/Aug/2023:13:15:44 +0900] "GET /BBS/join.jsp HTTP/1.1" 200 2421
0:0:0:0:0:0:0:1 - - [12/Aug/2023:13:15:45 +0900] "GET /BBS/css/join.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Aug/2023:13:15:45 +0900] "GET /BBS/join.jsp HTTP/1.1" 200 2421
0:0:0:0:0:0:0:1 - - [12/Aug/2023:13:15:45 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 1456
0:0:0:0:0:0:0:1 - - [12/Aug/2023:13:15:46 +0900] "GET /BBS/join.jsp HTTP/1.1" 200 2421
0:0:0:0:0:0:0:1 - - [12/Aug/2023:13:15:46 +0900] "GET /BBS/css/join.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Aug/2023:13:15:48 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 1456
0:0:0:0:0:0:0:1 - - [12/Aug/2023:13:16:30 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 1456
0:0:0:0:0:0:0:1 - - [12/Aug/2023:13:16:31 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 1456
0:0:0:0:0:0:0:1 - - [12/Aug/2023:13:16:32 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 1456
